,,,,,,,
,,業務スケジュール★2026年4月分,,,,,
業務内容,Monday,Tuesday,Wednesday,Thursday,Friday,土日,
week1,,,1,2,3,,
,FALSE,FALSE,TRUE,TRUE,TRUE,,
カスタマー,,,月初会議（zoom拝聴）,,,,
店舗,,,"M-ckacka処分
商品一括取下開始
再開店舗（リリー・ムラティーバ）",一括発送処理,"契約更新店舗への通達
店舗継続の管理
・1月度未購入者リスト化
・メールご案内一括送信",,
オートシップ,,,,口座振替結果処理日,,,
請求,,,・在庫報告／納入の対応,"ヤマト運輸精算☑️WEB対応
アスクル請求（紙請求書で）",,,
week2,6,7,8,9,10,,
,TRUE,TRUE,TRUE,TRUE,TRUE,,
カスタマー,,"・3月度実績キャンペーン
12：00入金まで
・未注文・未入金リストの作成",未入金リスト社長へ依頼,"・クーリングオフ関連確認
失効処理を行う
【最終BP2025.3分】
""失効管理【最終BP2025.4】
・失効者リストGR分（社長へ）","・返金対応
・カンファレンスリスト作成
M-ckackアカウント停止17：00","7日Mg&チーフ休暇
9日Mg午後休暇
9.10日松本氏全休
10日野田氏全休
",
店舗,,店舗管理システム修正中（松本氏）,"未配送店舗の管理
店舗罰則の件を店舗へ一括送信",【〆切】店舗→停止処置,,,
オートシップ,,,,,,,
請求,,,,,"実績報告書提出日
（3社+自社分）
※自社分に在庫数の表を挿入",,
week3,13,14,15,16,17,,
,TRUE,TRUE,TRUE,TRUE,TRUE,,
カスタマー,"入金管理システム修正依頼
→完了",クーリングオフシステム修正依頼,,,,,
店舗,"未発送店舗の確認【2026.1】

〜30まで",店舗管理システム修正依頼,,,,,
オートシップ,,,🔵AS口座振替一括送信予約,ーーーーーーーーーーーー→,"【〆切】AS口座振替一括
🔵ASカード一括送信予約",,　
請求,"3月度請求書の送付
茶楽園／シーコーポレーション",,,AS実績報告書提出日,,,
week4,20,21,22,23,24,,
,TRUE,TRUE,TRUE,FALSE,FALSE,,
カスタマー,西直美様→ルフレ返送後、ドリーム発送＆伝票処理＆返金,,業務スケジュールシステム化依頼,,,23日新スタッフ入社日（福成さん）,
店舗,,,,【承認記録システム】構築・依頼,店舗登録1件,,
オートシップ,,,,,,,
請求,國方様、エムミューズの実績報告書修正,,,"店舗請求金額確定日
・CSV振込データを送付（社長へ）",,,
week5,27,28,29☎︎,30,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,
カスタマー,,会員様もインボイス必須ご案内,昭,"月初会議用資料作成
・在庫確認",,28日阿部ちゃん最終日,
店舗,【契約更新】未払店舗確認✉️,出店申請フォーム修正＆HP修正（インボイス）,和,インボイス登録お願いメール,,,
オートシップ,"16時〜一括カード結果処理日
・決済不能者へメール送付
・BP振分/決済不能者リスト（國方様）",,の,,,,
請求,,"会員報酬一括振込予約日　〆
店舗一括振込予約日　〆
⚠️ボーナス公開日！",日,"・振込リスト提出
（インボイス番号と共に！）
・預かり金精算",,,